Year,Provinces,Emissions,Sectors
2015,Quebec,38,Non-profit education services [NP61000]
2016,Quebec,56,Non-profit education services [NP61000]
2017,Quebec,53,Non-profit education services [NP61000]
2018,Quebec,49,Non-profit education services [NP61000]
2019,Quebec,54,Non-profit education services [NP61000]
2020,Quebec,52,Non-profit education services [NP61000]
2021,Quebec,47,Non-profit education services [NP61000]
2022,Quebec,43,Non-profit education services [NP61000]
2023,Quebec,39,Non-profit education services [NP61000]
2013,Quebec,87,Non-profit social assistance [NP62400]
2014,Quebec,43,Non-profit social assistance [NP62400]
2015,Quebec,44,Non-profit social assistance [NP62400]
2016,Quebec,46,Non-profit social assistance [NP62400]
2017,Quebec,49,Non-profit social assistance [NP62400]
2018,Quebec,45,Non-profit social assistance [NP62400]
2019,Quebec,41,Non-profit social assistance [NP62400]
2020,Quebec,58,Non-profit social assistance [NP62400]
2021,Quebec,51,Non-profit social assistance [NP62400]
2022,Quebec,49,Non-profit social assistance [NP62400]
2023,Quebec,47,Non-profit social assistance [NP62400]
2013,Quebec,42,"Non-profit arts, entertainment and recreation [NP71000]"
2014,Quebec,32,"Non-profit arts, entertainment and recreation [NP71000]"
2015,Quebec,37,"Non-profit arts, entertainment and recreation [NP71000]"
2016,Quebec,29,"Non-profit arts, entertainment and recreation [NP71000]"
2017,Quebec,34,"Non-profit arts, entertainment and recreation [NP71000]"
2018,Quebec,30,"Non-profit arts, entertainment and recreation [NP71000]"
2019,Quebec,29,"Non-profit arts, entertainment and recreation [NP71000]"
2020,Quebec,22,"Non-profit arts, entertainment and recreation [NP71000]"
2021,Quebec,16,"Non-profit arts, entertainment and recreation [NP71000]"
2022,Quebec,21,"Non-profit arts, entertainment and recreation [NP71000]"
2023,Quebec,19,"Non-profit arts, entertainment and recreation [NP71000]"
2013,Quebec,118,Religious organizations [NP81310]
2014,Quebec,91,Religious organizations [NP81310]
2015,Quebec,91,Religious organizations [NP81310]
2016,Quebec,110,Religious organizations [NP81310]
2017,Quebec,46,Religious organizations [NP81310]
2018,Quebec,57,Religious organizations [NP81310]
2019,Quebec,64,Religious organizations [NP81310]
2020,Quebec,51,Religious organizations [NP81310]
2021,Quebec,44,Religious organizations [NP81310]
2022,Quebec,42,Religious organizations [NP81310]
2023,Quebec,38,Religious organizations [NP81310]
2013,Quebec,146,Miscellaneous non-profit institutions serving households [NPA0000]
2014,Quebec,115,Miscellaneous non-profit institutions serving households [NPA0000]
2015,Quebec,137,Miscellaneous non-profit institutions serving households [NPA0000]
2016,Quebec,171,Miscellaneous non-profit institutions serving households [NPA0000]
2017,Quebec,184,Miscellaneous non-profit institutions serving households [NPA0000]
2018,Quebec,158,Miscellaneous non-profit institutions serving households [NPA0000]
2019,Quebec,161,Miscellaneous non-profit institutions serving households [NPA0000]
2020,Quebec,170,Miscellaneous non-profit institutions serving households [NPA0000]
2021,Quebec,158,Miscellaneous non-profit institutions serving households [NPA0000]
2022,Quebec,156,Miscellaneous non-profit institutions serving households [NPA0000]
2023,Quebec,144,Miscellaneous non-profit institutions serving households [NPA0000]
2013,Quebec,339,Educational services (except universities) [GS611B0]
2014,Quebec,331,Educational services (except universities) [GS611B0]
2015,Quebec,338,Educational services (except universities) [GS611B0]
2016,Quebec,325,Educational services (except universities) [GS611B0]
2017,Quebec,366,Educational services (except universities) [GS611B0]
2018,Quebec,331,Educational services (except universities) [GS611B0]
2019,Quebec,266,Educational services (except universities) [GS611B0]
2020,Quebec,231,Educational services (except universities) [GS611B0]
2021,Quebec,257,Educational services (except universities) [GS611B0]
2022,Quebec,237,Educational services (except universities) [GS611B0]
2023,Quebec,218,Educational services (except universities) [GS611B0]
2013,Quebec,384,Universities [GS61130]
2014,Quebec,357,Universities [GS61130]
2015,Quebec,396,Universities [GS61130]
2016,Quebec,408,Universities [GS61130]
2017,Quebec,495,Universities [GS61130]
2018,Quebec,487,Universities [GS61130]
2019,Quebec,465,Universities [GS61130]
2020,Quebec,440,Universities [GS61130]
2021,Quebec,509,Universities [GS61130]
2022,Quebec,473,Universities [GS61130]
2023,Quebec,465,Universities [GS61130]
2013,Quebec,159,Hospitals [GS62200]
2014,Quebec,173,Hospitals [GS62200]
2015,Quebec,208,Hospitals [GS62200]
2016,Quebec,199,Hospitals [GS62200]
2017,Quebec,221,Hospitals [GS62200]
2018,Quebec,198,Hospitals [GS62200]
2019,Quebec,171,Hospitals [GS62200]
2020,Quebec,211,Hospitals [GS62200]
2021,Quebec,249,Hospitals [GS62200]
2022,Quebec,218,Health care and social assistance (except nursing and residential care facilities) [GS62B00]
2023,Quebec,193,Health care and social assistance (except nursing and residential care facilities) [GS62B00]
2013,Quebec,29,Nursing and residential care facilities [GS62300]
2014,Quebec,28,Nursing and residential care facilities [GS62300]
2015,Quebec,32,Nursing and residential care facilities [GS62300]
2016,Quebec,28,Nursing and residential care facilities [GS62300]
2017,Quebec,31,Nursing and residential care facilities [GS62300]
2018,Quebec,31,Nursing and residential care facilities [GS62300]
2019,Quebec,33,Nursing and residential care facilities [GS62300]
2020,Quebec,32,Nursing and residential care facilities [GS62300]
2021,Quebec,41,Nursing and residential care facilities [GS62300]
2022,Quebec,42,Nursing and residential care facilities [GS62300]
2023,Quebec,39,Nursing and residential care facilities [GS62300]
2013,Quebec,373,Other federal government services [GS91100]
2014,Quebec,275,Other federal government services [GS91100]
2015,Quebec,233,Other federal government services [GS91100]
2016,Quebec,219,Other federal government services [GS91100]
2017,Quebec,261,Other federal government services [GS91100]
2018,Quebec,301,Other federal government services [GS91100]
2019,Quebec,303,Other federal government services [GS91100]
2020,Quebec,341,Other federal government services [GS91100]
2021,Quebec,364,Other federal government services [GS91100]
2022,Quebec,317,Other federal government services [GS91100]
2023,Quebec,298,Other federal government services [GS91100]
2013,Quebec,142,Other provincial and territorial government services [GS91200]
2014,Quebec,128,Other provincial and territorial government services [GS91200]
2015,Quebec,182,Other provincial and territorial government services [GS91200]
2016,Quebec,191,Other provincial and territorial government services [GS91200]
2017,Quebec,173,Other provincial and territorial government services [GS91200]
2018,Quebec,129,Other provincial and territorial government services [GS91200]
2019,Quebec,138,Other provincial and territorial government services [GS91200]
2020,Quebec,165,Other provincial and territorial government services [GS91200]
2021,Quebec,231,Other provincial and territorial government services [GS91200]
2022,Quebec,114,Other provincial and territorial government services [GS91200]
2023,Quebec,103,Other provincial and territorial government services [GS91200]
2013,Quebec,973,Other municipal government services [GS91300]
2014,Quebec,800,Other municipal government services [GS91300]
2015,Quebec,735,Other municipal government services [GS91300]
2016,Quebec,731,Other municipal government services [GS91300]
2017,Quebec,699,Other municipal government services [GS91300]
2018,Quebec,610,Other municipal government services [GS91300]
2019,Quebec,639,Other municipal government services [GS91300]
2020,Quebec,652,Other municipal government services [GS91300]
2021,Quebec,675,Other municipal government services [GS91300]
2022,Quebec,675,Other municipal government services [GS91300]
2023,Quebec,639,Other municipal government services [GS91300]
2013,Quebec,26,Other Indigenous government services [GS91400]
2014,Quebec,27,Other Indigenous government services [GS91400]
2015,Quebec,31,Other Indigenous government services [GS91400]
2016,Quebec,28,Other Indigenous government services [GS91400]
2017,Quebec,92,Other Indigenous government services [GS91400]
2018,Quebec,86,Other Indigenous government services [GS91400]
2019,Quebec,124,Other Indigenous government services [GS91400]
2020,Quebec,124,Other Indigenous government services [GS91400]
2021,Quebec,165,Other Indigenous government services [GS91400]
2022,Quebec,185,Other Indigenous government services [GS91400]
2023,Quebec,169,Other Indigenous government services [GS91400]
2013,Quebec,17233,Households: Motor fuels and lubricants
2014,Quebec,16620,Households: Motor fuels and lubricants
2015,Quebec,16586,Households: Motor fuels and lubricants
2016,Quebec,16363,Households: Motor fuels and lubricants
2017,Quebec,17193,Households: Motor fuels and lubricants
2018,Quebec,17206,Households: Motor fuels and lubricants
2019,Quebec,17698,Households: Motor fuels and lubricants
2020,Quebec,13802,Households: Motor fuels and lubricants
2021,Quebec,14786,Households: Motor fuels and lubricants
2022,Quebec,15590,Households: Motor fuels and lubricants
2023,Quebec,16250,Households: Motor fuels and lubricants
2013,Quebec,8061,Households: Electricity and other fuels
2014,Quebec,8280,Households: Electricity and other fuels
2015,Quebec,8227,Households: Electricity and other fuels
2016,Quebec,8102,Households: Electricity and other fuels
2017,Quebec,7634,Households: Electricity and other fuels
2018,Quebec,7537,Households: Electricity and other fuels
2019,Quebec,7223,Households: Electricity and other fuels
2020,Quebec,6606,Households: Electricity and other fuels
2021,Quebec,6570,Households: Electricity and other fuels
2022,Quebec,6922,Households: Electricity and other fuels
2023,Quebec,6262,Households: Electricity and other fuels
2013,Quebec,3740,Balancing item: Waste
2014,Quebec,3887,Balancing item: Waste
2015,Quebec,3972,Balancing item: Waste
2016,Quebec,4814,Balancing item: Waste
2017,Quebec,4830,Balancing item: Waste
2018,Quebec,4720,Balancing item: Waste
2019,Quebec,4633,Balancing item: Waste
2020,Quebec,4530,Balancing item: Waste
2021,Quebec,4475,Balancing item: Waste
2022,Quebec,4423,Balancing item: Waste
2023,Quebec,4380,Balancing item: Waste
2013,Quebec,-13119,Balancing item: Biomass
2014,Quebec,-13569,Balancing item: Biomass
2015,Quebec,-15357,Balancing item: Biomass
2016,Quebec,-14572,Balancing item: Biomass
2017,Quebec,-13610,Balancing item: Biomass
2018,Quebec,-13612,Balancing item: Biomass
2019,Quebec,-12985,Balancing item: Biomass
2020,Quebec,-11549,Balancing item: Biomass
2021,Quebec,-12023,Balancing item: Biomass
2022,Quebec,-13173,Balancing item: Biomass
2023,Quebec,-13076,Balancing item: Biomass
2013,Quebec,-1809,Balancing item: Motor fuels
2014,Quebec,-1704,Balancing item: Motor fuels
2015,Quebec,-1594,Balancing item: Motor fuels
2016,Quebec,-1735,Balancing item: Motor fuels
2017,Quebec,-1705,Balancing item: Motor fuels
2018,Quebec,-1803,Balancing item: Motor fuels
2019,Quebec,-1701,Balancing item: Motor fuels
2020,Quebec,-822,Balancing item: Motor fuels
2021,Quebec,-884,Balancing item: Motor fuels
2022,Quebec,-861,Balancing item: Motor fuels
2023,Quebec,-917,Balancing item: Motor fuels
2013,Quebec,-2660,Balancing item: Aviation
2014,Quebec,-2836,Balancing item: Aviation
2015,Quebec,-2697,Balancing item: Aviation
2016,Quebec,-2651,Balancing item: Aviation
2017,Quebec,-3452,Balancing item: Aviation
2018,Quebec,-3593,Balancing item: Aviation
2019,Quebec,-3732,Balancing item: Aviation
2020,Quebec,-1495,Balancing item: Aviation
2021,Quebec,-1372,Balancing item: Aviation
2022,Quebec,-3260,Balancing item: Aviation
2023,Quebec,-3699,Balancing item: Aviation
2013,Quebec,3057,Balancing item: Synthetic fluorinated gases
2014,Quebec,2792,Balancing item: Synthetic fluorinated gases
2015,Quebec,2840,Balancing item: Synthetic fluorinated gases
2016,Quebec,2814,Balancing item: Synthetic fluorinated gases
2017,Quebec,2771,Balancing item: Synthetic fluorinated gases
2018,Quebec,2916,Balancing item: Synthetic fluorinated gases
2019,Quebec,2813,Balancing item: Synthetic fluorinated gases
2020,Quebec,2908,Balancing item: Synthetic fluorinated gases
2021,Quebec,2858,Balancing item: Synthetic fluorinated gases
2022,Quebec,2799,Balancing item: Synthetic fluorinated gases
2023,Quebec,2777,Balancing item: Synthetic fluorinated gases
2013,Quebec,1536,Balancing item: Non-energy Products from Fuels and Solvent Use
2014,Quebec,1546,Balancing item: Non-energy Products from Fuels and Solvent Use
2015,Quebec,247,Balancing item: Non-energy Products from Fuels and Solvent Use
2016,Quebec,333,Balancing item: Non-energy Products from Fuels and Solvent Use
2017,Quebec,159,Balancing item: Non-energy Products from Fuels and Solvent Use
2018,Quebec,316,Balancing item: Non-energy Products from Fuels and Solvent Use
2019,Quebec,321,Balancing item: Non-energy Products from Fuels and Solvent Use
2020,Quebec,283,Balancing item: Non-energy Products from Fuels and Solvent Use
2021,Quebec,104,Balancing item: Non-energy Products from Fuels and Solvent Use
2022,Quebec,183,Balancing item: Non-energy Products from Fuels and Solvent Use
2023,Quebec,219,Balancing item: Non-energy Products from Fuels and Solvent Use
2013,Quebec,519,Balancing item: Other differences
2014,Quebec,577,Balancing item: Other differences
2015,Quebec,670,Balancing item: Other differences
2016,Quebec,603,Balancing item: Other differences
2017,Quebec,645,Balancing item: Other differences
2018,Quebec,1164,Balancing item: Other differences
2019,Quebec,966,Balancing item: Other differences
2020,Quebec,1036,Balancing item: Other differences
2021,Quebec,230,Balancing item: Other differences
2022,Quebec,547,Balancing item: Other differences
2023,Quebec,473,Balancing item: Other differences
2013,Ontario,12453,Crop and animal production [BS11A00]
2014,Ontario,11681,Crop and animal production (except cannabis) [BS11B00]
2015,Ontario,11803,Crop and animal production (except cannabis) [BS11B00]
2016,Ontario,12146,Crop and animal production (except cannabis) [BS11B00]
2017,Ontario,12130,Crop and animal production (except cannabis) [BS11B00]
2018,Ontario,12204,Crop and animal production (except cannabis) [BS11B00]
2019,Ontario,11513,Crop and animal production (except cannabis) [BS11B00]
2020,Ontario,12128,Crop and animal production (except cannabis) [BS11B00]
2021,Ontario,12058,Crop and animal production (except cannabis) [BS11B00]
2022,Ontario,12056,Crop and animal production (except cannabis) [BS11B00]
2023,Ontario,12494,Crop and animal production (except cannabis) [BS11B00]
2014,Ontario,2,Cannabis production (licensed) [BS111CL]
2015,Ontario,2,Cannabis production (licensed) [BS111CL]
2016,Ontario,4,Cannabis production (licensed) [BS111CL]
2017,Ontario,5,Cannabis production (licensed) [BS111CL]
2018,Ontario,1,Cannabis production (licensed) [BS111CL]
2019,Ontario,785,Cannabis production (licensed) [BS111CL]
2020,Ontario,653,Cannabis production (licensed) [BS111CL]
2021,Ontario,779,Cannabis production (licensed) [BS111CL]
2022,Ontario,923,Cannabis production (licensed) [BS111CL]
2023,Ontario,946,Cannabis production (licensed) [BS111CL]
2014,Ontario,41,Cannabis production (unlicensed) [BS111CU]
2015,Ontario,48,Cannabis production (unlicensed) [BS111CU]
2016,Ontario,45,Cannabis production (unlicensed) [BS111CU]
2017,Ontario,39,Cannabis production (unlicensed) [BS111CU]
2018,Ontario,45,Cannabis production (unlicensed) [BS111CU]
2019,Ontario,34,Cannabis production (unlicensed) [BS111CU]
2020,Ontario,18,Cannabis production (unlicensed) [BS111CU]
2021,Ontario,25,Cannabis production (unlicensed) [BS111CU]
2022,Ontario,12,Cannabis production (unlicensed) [BS111CU]
2023,Ontario,11,Cannabis production (unlicensed) [BS111CU]
2013,Ontario,908,Forestry and logging [BS11300]
2014,Ontario,871,Forestry and logging [BS11300]
2015,Ontario,1255,Forestry and logging [BS11300]
2016,Ontario,1221,Forestry and logging [BS11300]
2017,Ontario,1212,Forestry and logging [BS11300]
2018,Ontario,1131,Forestry and logging [BS11300]
2019,Ontario,983,Forestry and logging [BS11300]
2020,Ontario,896,Forestry and logging [BS11300]
2021,Ontario,957,Forestry and logging [BS11300]
2022,Ontario,803,Forestry and logging [BS11300]
2023,Ontario,816,Forestry and logging [BS11300]
2013,Ontario,11,"Fishing, hunting and trapping [BS11400]"
2014,Ontario,11,"Fishing, hunting and trapping [BS11400]"
2015,Ontario,9,"Fishing, hunting and trapping [BS11400]"
2016,Ontario,8,"Fishing, hunting and trapping [BS11400]"
2017,Ontario,14,"Fishing, hunting and trapping [BS11400]"
2018,Ontario,16,"Fishing, hunting and trapping [BS11400]"
2019,Ontario,15,"Fishing, hunting and trapping [BS11400]"
2020,Ontario,14,"Fishing, hunting and trapping [BS11400]"
2021,Ontario,15,"Fishing, hunting and trapping [BS11400]"
2022,Ontario,17,"Fishing, hunting and trapping [BS11400]"
2023,Ontario,16,"Fishing, hunting and trapping [BS11400]"
2013,Ontario,75,Support activities for agriculture and forestry [BS11500]
2014,Ontario,40,Support activities for agriculture and forestry [BS11500]
2015,Ontario,60,Support activities for agriculture and forestry [BS11500]
2016,Ontario,67,Support activities for agriculture and forestry [BS11500]
2017,Ontario,74,Support activities for agriculture and forestry [BS11500]
2018,Ontario,72,Support activities for agriculture and forestry [BS11500]
2019,Ontario,74,Support activities for agriculture and forestry [BS11500]
2020,Ontario,62,Support activities for agriculture and forestry [BS11500]
2021,Ontario,202,Support activities for agriculture and forestry [BS11500]
2022,Ontario,253,Support activities for agriculture and forestry [BS11500]
2023,Ontario,255,Support activities for agriculture and forestry [BS11500]
2013,Ontario,2131,Oil and gas extraction [BS21100]
2014,Ontario,2103,Oil and gas extraction [BS21100]
2015,Ontario,2021,Oil and gas extraction [BS21100]
2016,Ontario,2090,Oil and gas extraction [BS21100]
2017,Ontario,1933,Oil and gas extraction [BS21100]
2018,Ontario,1994,Oil and gas extraction [BS21100]
2019,Ontario,2052,Oil and gas extraction [BS21100]
2020,Ontario,1964,Oil and gas extraction [BS21100]
2021,Ontario,1978,Oil and gas extraction [BS21100]
2022,Ontario,1943,Oil and gas extraction [BS21100]
2023,Ontario,1999,Oil and gas extraction [BS21100]
2013,Ontario,13,Coal mining [BS21210]
2014,Ontario,12,Coal mining [BS21210]
2015,Ontario,8,Coal mining [BS21210]
2016,Ontario,7,Coal mining [BS21210]
2017,Ontario,17,Coal mining [BS21210]
2018,Ontario,21,Coal mining [BS21210]
2019,Ontario,22,Coal mining [BS21210]
2020,Ontario,20,Coal mining [BS21210]
2021,Ontario,21,Coal mining [BS21210]
2022,Ontario,22,Coal mining [BS21210]
2023,Ontario,22,Coal mining [BS21210]
2013,Ontario,517,Metal ore mining [BS21220]
2014,Ontario,626,Metal ore mining [BS21220]
2015,Ontario,715,Metal ore mining [BS21220]
2016,Ontario,578,Metal ore mining [BS21220]
2017,Ontario,850,Metal ore mining [BS21220]
2018,Ontario,817,Metal ore mining [BS21220]
2019,Ontario,878,Metal ore mining [BS21220]
2020,Ontario,799,Metal ore mining [BS21220]
2021,Ontario,690,Metal ore mining [BS21220]
2022,Ontario,663,Metal ore mining [BS21220]
2023,Ontario,645,Metal ore mining [BS21220]
2013,Ontario,282,Non-metallic mineral mining and quarrying [BS21230]
2014,Ontario,265,Non-metallic mineral mining and quarrying [BS21230]
2015,Ontario,330,Non-metallic mineral mining and quarrying [BS21230]
2016,Ontario,334,Non-metallic mineral mining and quarrying [BS21230]
2017,Ontario,373,Non-metallic mineral mining and quarrying [BS21230]
2018,Ontario,371,Non-metallic mineral mining and quarrying [BS21230]
2019,Ontario,318,Non-metallic mineral mining and quarrying [BS21230]
2020,Ontario,347,Non-metallic mineral mining and quarrying [BS21230]
2021,Ontario,349,Non-metallic mineral mining and quarrying [BS21230]
2022,Ontario,331,Non-metallic mineral mining and quarrying [BS21230]
2023,Ontario,305,Non-metallic mineral mining and quarrying [BS21230]
2013,Ontario,613,Support activities for mining and oil and gas extraction [BS21300]
2014,Ontario,530,Support activities for mining and oil and gas extraction [BS21300]
2015,Ontario,402,Support activities for mining and oil and gas extraction [BS21300]
2016,Ontario,595,Support activities for mining and oil and gas extraction [BS21300]
2017,Ontario,446,Support activities for mining and oil and gas extraction [BS21300]
2018,Ontario,446,Support activities for mining and oil and gas extraction [BS21300]
2019,Ontario,434,Support activities for mining and oil and gas extraction [BS21300]
2020,Ontario,351,Support activities for mining and oil and gas extraction [BS21300]
2021,Ontario,507,Support activities for mining and oil and gas extraction [BS21300]
2022,Ontario,734,Support activities for mining and oil and gas extraction [BS21300]
2023,Ontario,648,Support activities for mining and oil and gas extraction [BS21300]
2013,Ontario,10580,"Electric power generation, transmission and distribution [BS22110]"
2014,Ontario,6902,"Electric power generation, transmission and distribution [BS22110]"
2015,Ontario,6913,"Electric power generation, transmission and distribution [BS22110]"
2016,Ontario,6108,"Electric power generation, transmission and distribution [BS22110]"
2017,Ontario,3086,"Electric power generation, transmission and distribution [BS22110]"
2018,Ontario,4665,"Electric power generation, transmission and distribution [BS22110]"
2019,Ontario,4327,"Electric power generation, transmission and distribution [BS22110]"
2020,Ontario,5267,"Electric power generation, transmission and distribution [BS22110]"
2021,Ontario,6070,"Electric power generation, transmission and distribution [BS22110]"
2022,Ontario,7148,"Electric power generation, transmission and distribution [BS22110]"
2023,Ontario,8604,"Electric power generation, transmission and distribution [BS22110]"
2013,Ontario,409,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2014,Ontario,422,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2015,Ontario,547,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2016,Ontario,571,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2017,Ontario,669,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2018,Ontario,804,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2019,Ontario,882,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2020,Ontario,1002,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2021,Ontario,778,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2022,Ontario,778,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2023,Ontario,767,"Natural gas distribution, water, sewage and other systems [BS221A0]"
2013,Ontario,581,Residential building construction [BS23A00]
2014,Ontario,529,Residential building construction [BS23A00]
2015,Ontario,711,Residential building construction [BS23A00]
2016,Ontario,801,Residential building construction [BS23A00]
2017,Ontario,884,Residential building construction [BS23A00]
2018,Ontario,820,Residential building construction [BS23A00]
2019,Ontario,813,Residential building construction [BS23A00]
2020,Ontario,765,Residential building construction [BS23A00]
2021,Ontario,804,Residential building construction [BS23A00]
2022,Ontario,852,Residential building construction [BS23A00]
2023,Ontario,839,Residential building construction [BS23A00]
2013,Ontario,174,Non-residential building construction [BS23B00]
2014,Ontario,150,Non-residential building construction [BS23B00]
2015,Ontario,234,Non-residential building construction [BS23B00]
2016,Ontario,231,Non-residential building construction [BS23B00]
2017,Ontario,279,Non-residential building construction [BS23B00]
2018,Ontario,269,Non-residential building construction [BS23B00]
2019,Ontario,265,Non-residential building construction [BS23B00]
2020,Ontario,176,Non-residential building construction [BS23B00]
2021,Ontario,158,Non-residential building construction [BS23B00]
2022,Ontario,180,Non-residential building construction [BS23B00]
2023,Ontario,177,Non-residential building construction [BS23B00]
2013,Ontario,519,Transportation engineering construction [BS23C10]
2014,Ontario,407,Transportation engineering construction [BS23C10]
2015,Ontario,636,Transportation engineering construction [BS23C10]
2016,Ontario,618,Transportation engineering construction [BS23C10]
2017,Ontario,769,Transportation engineering construction [BS23C10]
2018,Ontario,712,Transportation engineering construction [BS23C10]
2019,Ontario,641,Transportation engineering construction [BS23C10]
2020,Ontario,487,Transportation engineering construction [BS23C10]
2021,Ontario,475,Transportation engineering construction [BS23C10]
2022,Ontario,522,Transportation engineering construction [BS23C10]
2023,Ontario,509,Transportation engineering construction [BS23C10]
2013,Ontario,89,Oil and gas engineering construction [BS23C20]
2014,Ontario,86,Oil and gas engineering construction [BS23C20]
2015,Ontario,126,Oil and gas engineering construction [BS23C20]
2016,Ontario,120,Oil and gas engineering construction [BS23C20]
2017,Ontario,129,Oil and gas engineering construction [BS23C20]
2018,Ontario,109,Oil and gas engineering construction [BS23C20]
2019,Ontario,125,Oil and gas engineering construction [BS23C20]
2020,Ontario,101,Oil and gas engineering construction [BS23C20]
2021,Ontario,111,Oil and gas engineering construction [BS23C20]
2022,Ontario,115,Oil and gas engineering construction [BS23C20]
2023,Ontario,110,Oil and gas engineering construction [BS23C20]
2013,Ontario,210,Electric power engineering construction [BS23C30]
2014,Ontario,226,Electric power engineering construction [BS23C30]
2015,Ontario,335,Electric power engineering construction [BS23C30]
2016,Ontario,285,Electric power engineering construction [BS23C30]
2017,Ontario,242,Electric power engineering construction [BS23C30]
2018,Ontario,364,Electric power engineering construction [BS23C30]
2019,Ontario,364,Electric power engineering construction [BS23C30]
2020,Ontario,239,Electric power engineering construction [BS23C30]
2021,Ontario,215,Electric power engineering construction [BS23C30]
2022,Ontario,235,Electric power engineering construction [BS23C30]
2023,Ontario,229,Electric power engineering construction [BS23C30]
2013,Ontario,54,Communication engineering construction [BS23C40]
2014,Ontario,165,Communication engineering construction [BS23C40]
2015,Ontario,213,Communication engineering construction [BS23C40]
2016,Ontario,289,Communication engineering construction [BS23C40]
2017,Ontario,286,Communication engineering construction [BS23C40]
2018,Ontario,284,Communication engineering construction [BS23C40]
2019,Ontario,250,Communication engineering construction [BS23C40]
2020,Ontario,166,Communication engineering construction [BS23C40]
2021,Ontario,151,Communication engineering construction [BS23C40]
2022,Ontario,160,Communication engineering construction [BS23C40]
2023,Ontario,154,Communication engineering construction [BS23C40]
2013,Ontario,281,Other engineering construction [BS23C50]
2014,Ontario,233,Other engineering construction [BS23C50]
2015,Ontario,368,Other engineering construction [BS23C50]
2016,Ontario,407,Other engineering construction [BS23C50]
2017,Ontario,374,Other engineering construction [BS23C50]
2018,Ontario,386,Other engineering construction [BS23C50]
2019,Ontario,377,Other engineering construction [BS23C50]
2020,Ontario,372,Other engineering construction [BS23C50]
2021,Ontario,329,Other engineering construction [BS23C50]
2022,Ontario,361,Other engineering construction [BS23C50]
2023,Ontario,349,Other engineering construction [BS23C50]
2013,Ontario,125,Repair construction [BS23D00]
2014,Ontario,97,Repair construction [BS23D00]
2015,Ontario,143,Repair construction [BS23D00]
2016,Ontario,155,Repair construction [BS23D00]
2017,Ontario,183,Repair construction [BS23D00]
2018,Ontario,200,Repair construction [BS23D00]
2019,Ontario,216,Repair construction [BS23D00]
2020,Ontario,175,Repair construction [BS23D00]
2021,Ontario,170,Repair construction [BS23D00]
2022,Ontario,186,Repair construction [BS23D00]
2023,Ontario,181,Repair construction [BS23D00]
2013,Ontario,121,Other activities of the construction industry [BS23E00]
2014,Ontario,115,Other activities of the construction industry [BS23E00]
2015,Ontario,149,Other activities of the construction industry [BS23E00]
2016,Ontario,140,Other activities of the construction industry [BS23E00]
2017,Ontario,154,Other activities of the construction industry [BS23E00]
2018,Ontario,155,Other activities of the construction industry [BS23E00]
2019,Ontario,154,Other activities of the construction industry [BS23E00]
2020,Ontario,102,Other activities of the construction industry [BS23E00]
2021,Ontario,102,Other activities of the construction industry [BS23E00]
2022,Ontario,109,Other activities of the construction industry [BS23E00]
2023,Ontario,108,Other activities of the construction industry [BS23E00]
2013,Ontario,87,Animal food manufacturing [BS31110]
2014,Ontario,70,Animal food manufacturing [BS31110]
2015,Ontario,103,Animal food manufacturing [BS31110]
2016,Ontario,103,Animal food manufacturing [BS31110]
2017,Ontario,88,Animal food manufacturing [BS31110]
2018,Ontario,91,Animal food manufacturing [BS31110]
2019,Ontario,91,Animal food manufacturing [BS31110]
2020,Ontario,109,Animal food manufacturing [BS31110]
2021,Ontario,104,Animal food manufacturing [BS31110]
2022,Ontario,114,Animal food manufacturing [BS31110]
2023,Ontario,118,Animal food manufacturing [BS31110]
2013,Ontario,108,Sugar and confectionery product manufacturing [BS31130]
2014,Ontario,96,Sugar and confectionery product manufacturing [BS31130]
2015,Ontario,35,Sugar and confectionery product manufacturing [BS31130]
2016,Ontario,92,Sugar and confectionery product manufacturing [BS31130]
2017,Ontario,91,Sugar and confectionery product manufacturing [BS31130]
2018,Ontario,195,Sugar and confectionery product manufacturing [BS31130]
2019,Ontario,226,Sugar and confectionery product manufacturing [BS31130]
2020,Ontario,185,Sugar and confectionery product manufacturing [BS31130]
2021,Ontario,235,Sugar and confectionery product manufacturing [BS31130]
2022,Ontario,237,Sugar and confectionery product manufacturing [BS31130]
2023,Ontario,323,Sugar and confectionery product manufacturing [BS31130]
2013,Ontario,224,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2014,Ontario,163,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2015,Ontario,180,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2016,Ontario,178,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2017,Ontario,232,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2018,Ontario,251,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
2019,Ontario,194,Fruit and vegetable preserving and specialty food manufacturing [BS31140]
